sample,fileName,individual,tissue,n.raw.reads,CPM,igRPM,immune.diversity
GTEX-QDVJ-0426-SM-2I5FW,G16788.GTEX-QDVJ-0426.3,GTEX-QDVJ,Heart - Left Ventricle,135986666.0,2.8090989450392145,0.5735856484635045,0.860559001481
GTEX-QEG4-0006-SM-2I5FY,G16790.GTEX-QEG4-0006.3,GTEX-QEG4,Whole Blood,138173333.0,3.698253410446428,3.1554569216333515,2.36344266748
GTEX-QEG5-0006-SM-2I5FZ,G16791.GTEX-QEG5-0006.3,GTEX-QEG5,Whole Blood,135413333.0,3.064690830702764,4.135486422153127,2.25150773405
GTEX-QLQ7-0526-SM-2I5G3,G16794.GTEX-QLQ7-0526.3,GTEX-QLQ7,Heart - Left Ventricle,160000000.0,2.76875,0.35,1.1537419427
GTEX-OXRN-0011-R10A-SM-2I5GC,G16802.GTEX-OXRN-0011-R10A.3,GTEX-OXRN,Brain - Frontal Cortex (BA9),150093333.0,2.6583459239991694,0.11326285891725783,0.0
GTEX-PWO3-0011-R8A-SM-2I5GD,G16803.GTEX-PWO3-0011-R8A.3,GTEX-PWO3,Brain - Hypothalamus,164186666.0,2.442342059616461,0.23753451452628924,1.47998453376
GTEX-QEG5-0826-SM-2I5GF,G16805.GTEX-QEG5-0826.3,GTEX-QEG5,Thyroid,161333333.0,3.3780991805332627,0.5082644638600505,1.48111725596
GTEX-QEG5-0426-SM-2I5GJ,G16809.GTEX-QEG5-0426.3,GTEX-QEG5,Muscle - Skeletal,137600000.0,2.994186046511628,0.29069767441860467,0.0
GTEX-P4QR-0006-SM-2I5GN,G16813.GTEX-P4QR-0006.3,GTEX-P4QR,Whole Blood,120813333.0,3.286061150220895,13.955413348293272,2.27231524371
GTEX-P4QR-0726-SM-2I5GO,G16814.GTEX-P4QR-0726.3,GTEX-P4QR,Muscle - Skeletal,142840000.0,2.961355362643517,0.04900588070568468,1.79175946923
GTEX-P4QR-1026-SM-2I5GP,G16815.GTEX-P4QR-1026.3,GTEX-P4QR,Lung,150826666.0,3.5404879930184228,20.361121023519807,2.18307197484
GTEX-OIZF-0006-SM-2I5GQ,G16816.GTEX-OIZF-0006.3,GTEX-OIZF,Whole Blood,150080000.0,3.784648187633262,4.091151385927505,2.37899223963
GTEX-NL4W-0011-R4a-SM-2I5GZ,G16825.GTEX-NL4W-0011-R4a.3,GTEX-NL4W,Brain - Amygdala,141653333.0,2.7179028678414507,0.7059487968419352,0.0
